,hotel_id_in_our_database,hotel_name,hotel_location,hotel_star,hotel_location_rating,hotel_nearby_place_distance,hotel_popular_place_distance,hotel_user_Ratings,hotel_user_Ratings_text,hotel_room_type,hotel_room_Benefits,feature_data,Features,adult_capacity,children_capacity,Room Capacity,Balcony/terrace,Kitchenette,Free Wi-Fi,Executive lounge access,Hair dryer,Open air bath privileges,Towels,TV [in bathroom],Mirror,Additional bathroom,Whirlpool bathtub,Additional toilet,Bathroom phone,Scale,Cleaning products,Toiletries,Bathrobes,Free Wi-Fi in all rooms!,Internet access – LAN,In-room tablet,Wi-Fi [charges apply],Video game console,LAN Internet in room [free],On-demand movies,iPod docking station,TV,Telephone,Satellite/cable channels,LAN Internet in room [charges apply],Wi-Fi [free],Internet access – wireless,TV [flat screen],DVD/CD player,Umbrella,Daily newspaper,Electric blanket,Heating,Private entrance,Air conditioning,Air purifier,Humidifier,Linens,Wake-up service,Mosquito net,Fan,Alarm clock,Slippers,Blackout curtains,Soundproofing,Free instant coffee,Free welcome drink,Coffee/tea maker,Kitchenware,Full kitchen,Microwave,Dishwasher,Free bottled water,Refrigerator,Complimentary tea,Mini bar,kitchen,High chair,High floor,Interconnecting room(s) available,Seating area,Sofa,Laptop workspace,Separate living room,Fireplace,Carpeting,Wooden/parqueted flooring,Extra long bed,Separate dining area,Desk,Clothes dryer,Ironing facilities,Trouser press,Shoeshine kit,Sewing kit,Dressing room,Washing machine,Closet,Clothes rack,Locker,Carbon monoxide detector,Pets allowed in room,Smoke detector,In-room safe box,Laptop safe box,Fire extinguisher,First aid kit,hotel_price,benefit_free_wifi,benefit_free_breakfast,benefit_cancel_policy,benefit_free_cancellation,benefit_pay_nothing,benefit_low_price,benefit_pay_at_hotel,benefit_book_without_card,benefit_airport,benefit_express,view_City view,view_Country view,view_Courtyard view,view_Garden view,view_Lake view,view_Nature view,view_No Windows view,view_Park view,view_Pool view,view_River view,view_Street view,view_unknown,district_Bang Kapi,district_Bang Na,district_Bangkok Riverside,district_Chatuchak,district_China Town,district_Don Mueang International Airport,district_Khaosan,district_Pratunam,district_Ratchadaphisek,district_Sathorn,district_Siam,district_Silom,district_South Thonburi,district_Sukhumvit,district_Suvarnabhumi Airport,district_Thonburi,district_Wireless
494,10012,Aetas Residence,"SOI RUAMRUDEE, PLOENCHIT ROAD, LUMPINI, PATHUMWAN,51, Wireless, Bangkok, Thailand, 10330",5.0,8.2,Masjid Indonesia && 80 m ; ANS International Custom Tailors && 140 m ; All Seasons Place && 350 m ; Venus Jewelry && 490 m ; Nana Fashions && 500 m ; Zantino Tailor && 510 m ; 100 Tonson Gallery && 510 m ; R and R Apparel International && 560 m ; Terminal 21 Shopping Mall && 1.24 km ; Central World && 1.35 km,Terminal 21 Shopping Mall && 1.24 km ; Central World && 1.35 km ; Jim Thompson && 1.89 km ; Yaowarat Road && 4.25 km ; Wat Saket && 4.89 km ; Khao San Road && 5.97 km ; Wat Pho Temple && 6.14 km ; Asiatique - The Riverfront && 6.22 km ; Wat Phra Kaew && 6.3 km ; Grand Palace && 6.35 km,8.5,Excellent,One Bedroom Suite for 4 People,"Pay nothing until March 13, 2019 ;Free Wi-Fi ;Free cancellation before March 15, 2019 ;","{'Features': '1 king bed & 2 single beds&&Room size: 74 m²/797 ft²&&City view&&Balcony/terrace&&Non-smoking&&Separate shower/bathtub&&Kitchenette&&Free Wi-Fi&&', 'Bed types': '1 king bed&&', 'Bathroom and toiletries': 'Bathrobes&&Bathroom phone&&Hair dryer&&Mirror&&Scale&&Toiletries&&Towels&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&Blackout curtains&&Linens&&Slippers&&Umbrella&&Wake-up service&&', 'Dining, drinking, and snacking': 'Free bottled water&&Free welcome drink&&Full kitchen&&Kitchenware&&Microwave&&Refrigerator&&', 'Layout and furnishings': 'High floor&&Seating area&&Separate dining area&&Separate living room&&Wooden/parqueted flooring&&', 'Clothing and laundry': 'Closet&&Clothes rack&&Ironing facilities&&Washing machine&&', 'Safety and security features': 'In-room safe box&&Laptop safe box&&Smoke detector&&', 'Guest ratings': '&&&&'}",1 king bed & 2 single beds&&Room size: 74 m²/797 ft²&&City view&&Balcony/terrace&&Non-smoking&&Separate shower/bathtub&&Kitchenette&&Free Wi-Fi&&,4.0,0.0,74.0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,5289,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
495,10012,Aetas Residence,"SOI RUAMRUDEE, PLOENCHIT ROAD, LUMPINI, PATHUMWAN,51, Wireless, Bangkok, Thailand, 10330",5.0,8.2,Masjid Indonesia && 80 m ; ANS International Custom Tailors && 140 m ; All Seasons Place && 350 m ; Venus Jewelry && 490 m ; Nana Fashions && 500 m ; Zantino Tailor && 510 m ; 100 Tonson Gallery && 510 m ; R and R Apparel International && 560 m ; Terminal 21 Shopping Mall && 1.24 km ; Central World && 1.35 km,Terminal 21 Shopping Mall && 1.24 km ; Central World && 1.35 km ; Jim Thompson && 1.89 km ; Yaowarat Road && 4.25 km ; Wat Saket && 4.89 km ; Khao San Road && 5.97 km ; Wat Pho Temple && 6.14 km ; Asiatique - The Riverfront && 6.22 km ; Wat Phra Kaew && 6.3 km ; Grand Palace && 6.35 km,8.5,Excellent,One Bedroom Suite for 4 People,"Free breakfast for 4 ;Pay nothing until March 13, 2019 ;Free Wi-Fi ;Free cancellation before March 15, 2019 ;","{'Features': '1 king bed & 2 single beds&&Room size: 74 m²/797 ft²&&City view&&Balcony/terrace&&Non-smoking&&Separate shower/bathtub&&Kitchenette&&Free Wi-Fi&&', 'Bed types': '1 king bed&&', 'Bathroom and toiletries': 'Bathrobes&&Bathroom phone&&Hair dryer&&Mirror&&Scale&&Toiletries&&Towels&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&Blackout curtains&&Linens&&Slippers&&Umbrella&&Wake-up service&&', 'Dining, drinking, and snacking': 'Free bottled water&&Free welcome drink&&Full kitchen&&Kitchenware&&Microwave&&Refrigerator&&', 'Layout and furnishings': 'High floor&&Seating area&&Separate dining area&&Separate living room&&Wooden/parqueted flooring&&', 'Clothing and laundry': 'Closet&&Clothes rack&&Ironing facilities&&Washing machine&&', 'Safety and security features': 'In-room safe box&&Laptop safe box&&Smoke detector&&', 'Guest ratings': '&&&&'}",1 king bed & 2 single beds&&Room size: 74 m²/797 ft²&&City view&&Balcony/terrace&&Non-smoking&&Separate shower/bathtub&&Kitchenette&&Free Wi-Fi&&,4.0,0.0,74.0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,6372,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
496,10012,Aetas Residence,"SOI RUAMRUDEE, PLOENCHIT ROAD, LUMPINI, PATHUMWAN,51, Wireless, Bangkok, Thailand, 10330",5.0,8.2,Masjid Indonesia && 80 m ; ANS International Custom Tailors && 140 m ; All Seasons Place && 350 m ; Venus Jewelry && 490 m ; Nana Fashions && 500 m ; Zantino Tailor && 510 m ; 100 Tonson Gallery && 510 m ; R and R Apparel International && 560 m ; Terminal 21 Shopping Mall && 1.24 km ; Central World && 1.35 km,Terminal 21 Shopping Mall && 1.24 km ; Central World && 1.35 km ; Jim Thompson && 1.89 km ; Yaowarat Road && 4.25 km ; Wat Saket && 4.89 km ; Khao San Road && 5.97 km ; Wat Pho Temple && 6.14 km ; Asiatique - The Riverfront && 6.22 km ; Wat Phra Kaew && 6.3 km ; Grand Palace && 6.35 km,8.5,Excellent,Two Bedroom Suite,"Free breakfast for 4 ;Pay nothing until March 13, 2019 ;Free Wi-Fi ;Free cancellation before March 15, 2019 ;","{'Features': '1 king bed & 1 king bed or 2 single beds&&Room size: 130 m²/1399 ft²&&City view&&Balcony/terrace&&2 bathrooms&&Separate shower/bathtub&&Kitchenette&&2 bedrooms&&Free Wi-Fi&&', 'Bed types': '1 king bed||1 king bed||', 'Bathroom and toiletries': 'Bathrobes&&Bathroom phone&&Hair dryer&&Mirror&&Scale&&Toiletries&&Towels&&', 'Entertainment ': 'DVD/CD player&&Free Wi-Fi in all rooms!&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&Alarm clock&&Blackout curtains&&Daily newspaper&&Linens&&Slippers&&Soundproofing&&Umbrella&&Wake-up service&&', 'Dining, drinking, and snacking': 'Coffee/tea maker&&Free bottled water&&Free welcome drink&&Full kitchen&&Kitchenware&&Microwave&&Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Desk&&Seating area&&Separate dining area&&Separate living room&&Sofa&&Wooden/parqueted flooring&&', 'Clothing and laundry': 'Closet&&Clothes dryer&&Clothes rack&&Ironing facilities&&Washing machine&&', 'Safety and security features': 'In-room safe box&&Laptop safe box&&Smoke detector&&', 'Guest ratings': '&&&&'}",1 king bed & 1 king bed or 2 single beds&&Room size: 130 m²/1399 ft²&&City view&&Balcony/terrace&&2 bathrooms&&Separate shower/bathtub&&Kitchenette&&2 bedrooms&&Free Wi-Fi&&,4.0,0.0,130.0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,7861,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
500,10012,Aetas Residence,"SOI RUAMRUDEE, PLOENCHIT ROAD, LUMPINI, PATHUMWAN,51, Wireless, Bangkok, Thailand, 10330",5.0,8.2,Masjid Indonesia && 80 m ; ANS International Custom Tailors && 140 m ; All Seasons Place && 350 m ; Venus Jewelry && 490 m ; Nana Fashions && 500 m ; Zantino Tailor && 510 m ; 100 Tonson Gallery && 510 m ; R and R Apparel International && 560 m ; Terminal 21 Shopping Mall && 1.24 km ; Central World && 1.35 km,Terminal 21 Shopping Mall && 1.24 km ; Central World && 1.35 km ; Jim Thompson && 1.89 km ; Yaowarat Road && 4.25 km ; Wat Saket && 4.89 km ; Khao San Road && 5.97 km ; Wat Pho Temple && 6.14 km ; Asiatique - The Riverfront && 6.22 km ; Wat Phra Kaew && 6.3 km ; Grand Palace && 6.35 km,8.5,Excellent,One-Bedroom Suite - 4 Adults,"Pay at the hotel ;Free Wi-Fi ;Free cancellation before March 15, 2019 ;","{'Features': 'Room size: 85 m²/915 ft²&&Balcony/terrace&&Shower and bathtub&&Kitchenette&&Free Wi-Fi&&', 'Bathroom and toiletries': 'Bathrobes&&Hair dryer&&Mirror&&Toiletries&&Towels&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&Alarm clock&&Linens&&Slippers&&Soundproofing&&Wake-up service&&', 'Dining, drinking, and snacking': 'Full kitchen&&Kitchenware&&Microwave&&Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Desk&&Seating area&&Sofa&&Wooden/parqueted flooring&&', 'Clothing and laundry': 'Closet&&Clothes dryer&&Clothes rack&&Ironing facilities&&Washing machine&&', 'Safety and security features': 'In-room safe box&&', 'Guest ratings': '&&&&'}",Room size: 85 m²/915 ft²&&Balcony/terrace&&Shower and bathtub&&Kitchenette&&Free Wi-Fi&&,4.0,0.0,85.0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,5289,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
501,10012,Aetas Residence,"SOI RUAMRUDEE, PLOENCHIT ROAD, LUMPINI, PATHUMWAN,51, Wireless, Bangkok, Thailand, 10330",5.0,8.2,Masjid Indonesia && 80 m ; ANS International Custom Tailors && 140 m ; All Seasons Place && 350 m ; Venus Jewelry && 490 m ; Nana Fashions && 500 m ; Zantino Tailor && 510 m ; 100 Tonson Gallery && 510 m ; R and R Apparel International && 560 m ; Terminal 21 Shopping Mall && 1.24 km ; Central World && 1.35 km,Terminal 21 Shopping Mall && 1.24 km ; Central World && 1.35 km ; Jim Thompson && 1.89 km ; Yaowarat Road && 4.25 km ; Wat Saket && 4.89 km ; Khao San Road && 5.97 km ; Wat Pho Temple && 6.14 km ; Asiatique - The Riverfront && 6.22 km ; Wat Phra Kaew && 6.3 km ; Grand Palace && 6.35 km,8.5,Excellent,One-Bedroom Suite - 4 Adults,"Free breakfast for 4 ;Pay at the hotel ;Free Wi-Fi ;Free cancellation before March 15, 2019 ;","{'Features': 'Room size: 85 m²/915 ft²&&Balcony/terrace&&Shower and bathtub&&Kitchenette&&Free Wi-Fi&&', 'Bathroom and toiletries': 'Bathrobes&&Hair dryer&&Mirror&&Toiletries&&Towels&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&Alarm clock&&Linens&&Slippers&&Soundproofing&&Wake-up service&&', 'Dining, drinking, and snacking': 'Full kitchen&&Kitchenware&&Microwave&&Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Desk&&Seating area&&Sofa&&Wooden/parqueted flooring&&', 'Clothing and laundry': 'Closet&&Clothes dryer&&Clothes rack&&Ironing facilities&&Washing machine&&', 'Safety and security features': 'In-room safe box&&', 'Guest ratings': '&&&&'}",Room size: 85 m²/915 ft²&&Balcony/terrace&&Shower and bathtub&&Kitchenette&&Free Wi-Fi&&,4.0,0.0,85.0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,6372,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
502,10013,Dream Hotel Bangkok,"10 Sukhumvit Soi 15, Klong Toey Nua, Wattana, Sukhumvit, Bangkok, Thailand, 10110",5.0,8.4,Zerutti && 70 m ; Best Tailor && 210 m ; Narry Tailors && 230 m ; Ambassador & Smart Fashion && 230 m ; St. Marco Tailor && 230 m ; Atelier Azzurro && 240 m ; Ravi Sehgal Bespoke && 240 m ; Liu's Bootery && 240 m ; Jhasper Fashion Custom Tailors && 250 m ; Jesse and Son Custom Tailors && 250 m,Terminal 21 Shopping Mall && 400 m ; Central World && 2.17 km ; Jim Thompson && 2.95 km ; Yaowarat Road && 5.29 km ; Wat Saket && 5.8 km ; Khao San Road && 6.86 km ; Wat Pho Temple && 7.15 km ; Asiatique - The Riverfront && 7.23 km ; Wat Phra Kaew && 7.28 km ; Grand Palace && 7.33 km,8.4,Excellent,Bronze King Room,Free Wi-Fi ;Extra low price! (non-refundable) ;,"{'Features': '1 single bed&&Room size: 25 m²/269 ft²&&City view&&Separate shower/bathtub&&Free Wi-Fi&&', 'Bed types': '1 single bed&&', 'Bathroom and toiletries': 'Bathrobes&&Cleaning products&&Hair dryer&&Mirror&&Scale&&Toiletries&&Towels&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&Alarm clock&&Blackout curtains&&Linens&&Slippers&&Wake-up service&&', 'Dining, drinking, and snacking': 'Coffee/tea maker&&Free bottled water&&Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Carpeting&&Desk&&Laptop workspace&&Seating area&&Separate living room&&Sofa&&', 'Clothing and laundry': 'Closet&&Ironing facilities&&', 'Safety and security features': 'In-room safe box&&Smoke detector&&', 'Guest ratings': '&&&&'}",1 single bed&&Room size: 25 m²/269 ft²&&City view&&Separate shower/bathtub&&Free Wi-Fi&&,2.0,2.0,25.0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2091,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
503,10013,Dream Hotel Bangkok,"10 Sukhumvit Soi 15, Klong Toey Nua, Wattana, Sukhumvit, Bangkok, Thailand, 10110",5.0,8.4,Zerutti && 70 m ; Best Tailor && 210 m ; Narry Tailors && 230 m ; Ambassador & Smart Fashion && 230 m ; St. Marco Tailor && 230 m ; Atelier Azzurro && 240 m ; Ravi Sehgal Bespoke && 240 m ; Liu's Bootery && 240 m ; Jhasper Fashion Custom Tailors && 250 m ; Jesse and Son Custom Tailors && 250 m,Terminal 21 Shopping Mall && 400 m ; Central World && 2.17 km ; Jim Thompson && 2.95 km ; Yaowarat Road && 5.29 km ; Wat Saket && 5.8 km ; Khao San Road && 6.86 km ; Wat Pho Temple && 7.15 km ; Asiatique - The Riverfront && 7.23 km ; Wat Phra Kaew && 7.28 km ; Grand Palace && 7.33 km,8.4,Excellent,Bronze King Room,Free breakfast for 2 ;Free Wi-Fi ;Extra low price! (non-refundable) ;,"{'Features': '1 single bed&&Room size: 25 m²/269 ft²&&City view&&Separate shower/bathtub&&Free Wi-Fi&&', 'Bed types': '1 single bed&&', 'Bathroom and toiletries': 'Bathrobes&&Cleaning products&&Hair dryer&&Mirror&&Scale&&Toiletries&&Towels&&', 'Entertainment ': 'Free Wi-Fi in all rooms!&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&Alarm clock&&Blackout curtains&&Linens&&Slippers&&Wake-up service&&', 'Dining, drinking, and snacking': 'Coffee/tea maker&&Free bottled water&&Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Carpeting&&Desk&&Laptop workspace&&Seating area&&Separate living room&&Sofa&&', 'Clothing and laundry': 'Closet&&Ironing facilities&&', 'Safety and security features': 'In-room safe box&&Smoke detector&&', 'Guest ratings': '&&&&'}",1 single bed&&Room size: 25 m²/269 ft²&&City view&&Separate shower/bathtub&&Free Wi-Fi&&,2.0,2.0,25.0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2614,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
505,10013,Dream Hotel Bangkok,"10 Sukhumvit Soi 15, Klong Toey Nua, Wattana, Sukhumvit, Bangkok, Thailand, 10110",5.0,8.4,Zerutti && 70 m ; Best Tailor && 210 m ; Narry Tailors && 230 m ; Ambassador & Smart Fashion && 230 m ; St. Marco Tailor && 230 m ; Atelier Azzurro && 240 m ; Ravi Sehgal Bespoke && 240 m ; Liu's Bootery && 240 m ; Jhasper Fashion Custom Tailors && 250 m ; Jesse and Son Custom Tailors && 250 m,Terminal 21 Shopping Mall && 400 m ; Central World && 2.17 km ; Jim Thompson && 2.95 km ; Yaowarat Road && 5.29 km ; Wat Saket && 5.8 km ; Khao San Road && 6.86 km ; Wat Pho Temple && 7.15 km ; Asiatique - The Riverfront && 7.23 km ; Wat Phra Kaew && 7.28 km ; Grand Palace && 7.33 km,8.4,Excellent,Silver Room,Free breakfast for 2 ;Free Wi-Fi ;Extra low price! (non-refundable) ;,"{'Features': '1 king bed&&Room size: 29 m²/312 ft²&&City view&&Shower&&Free Wi-Fi&&', 'Bed types': '1 king bed&&', 'Bathroom and toiletries': 'Bathrobes&&Cleaning products&&Hair dryer&&Mirror&&Toiletries&&Towels&&', 'Entertainment ': 'DVD/CD player&&Free Wi-Fi in all rooms!&&On-demand movies&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&Blackout curtains&&Daily newspaper&&Linens&&Slippers&&Wake-up service&&', 'Dining, drinking, and snacking': 'Coffee/tea maker&&Free bottled water&&Free instant coffee&&Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Carpeting&&Desk&&Laptop workspace&&Seating area&&', 'Clothing and laundry': 'Closet&&Ironing facilities&&', 'Safety and security features': 'In-room safe box&&Laptop safe box&&Smoke detector&&', 'Guest ratings': '&&&&'}",1 king bed&&Room size: 29 m²/312 ft²&&City view&&Shower&&Free Wi-Fi&&,2.0,2.0,29.0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,2740,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
507,10013,Dream Hotel Bangkok,"10 Sukhumvit Soi 15, Klong Toey Nua, Wattana, Sukhumvit, Bangkok, Thailand, 10110",5.0,8.4,Zerutti && 70 m ; Best Tailor && 210 m ; Narry Tailors && 230 m ; Ambassador & Smart Fashion && 230 m ; St. Marco Tailor && 230 m ; Atelier Azzurro && 240 m ; Ravi Sehgal Bespoke && 240 m ; Liu's Bootery && 240 m ; Jhasper Fashion Custom Tailors && 250 m ; Jesse and Son Custom Tailors && 250 m,Terminal 21 Shopping Mall && 400 m ; Central World && 2.17 km ; Jim Thompson && 2.95 km ; Yaowarat Road && 5.29 km ; Wat Saket && 5.8 km ; Khao San Road && 6.86 km ; Wat Pho Temple && 7.15 km ; Asiatique - The Riverfront && 7.23 km ; Wat Phra Kaew && 7.28 km ; Grand Palace && 7.33 km,8.4,Excellent,Gold King Room,Free breakfast for 2 ;Free Wi-Fi ;Extra low price! (non-refundable) ;,"{'Features': '1 king bed&&Room size: 36 m²/388 ft²&&City view&&Shower and bathtub&&Free Wi-Fi&&', 'Bed types': '1 king bed&&', 'Bathroom and toiletries': 'Bathrobes&&Cleaning products&&Hair dryer&&Mirror&&Scale&&Toiletries&&Towels&&', 'Entertainment ': 'DVD/CD player&&Free Wi-Fi in all rooms!&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&Alarm clock&&Blackout curtains&&Daily newspaper&&Linens&&Slippers&&Wake-up service&&', 'Dining, drinking, and snacking': 'Coffee/tea maker&&Free bottled water&&Free instant coffee&&Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Carpeting&&Desk&&Laptop workspace&&Seating area&&', 'Clothing and laundry': 'Closet&&Ironing facilities&&', 'Safety and security features': 'In-room safe box&&Laptop safe box&&Smoke detector&&', 'Guest ratings': '&&&&'}",1 king bed&&Room size: 36 m²/388 ft²&&City view&&Shower and bathtub&&Free Wi-Fi&&,2.0,2.0,36.0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,3002,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
508,10013,Dream Hotel Bangkok,"10 Sukhumvit Soi 15, Klong Toey Nua, Wattana, Sukhumvit, Bangkok, Thailand, 10110",5.0,8.4,Zerutti && 70 m ; Best Tailor && 210 m ; Narry Tailors && 230 m ; Ambassador & Smart Fashion && 230 m ; St. Marco Tailor && 230 m ; Atelier Azzurro && 240 m ; Ravi Sehgal Bespoke && 240 m ; Liu's Bootery && 240 m ; Jhasper Fashion Custom Tailors && 250 m ; Jesse and Son Custom Tailors && 250 m,Terminal 21 Shopping Mall && 400 m ; Central World && 2.17 km ; Jim Thompson && 2.95 km ; Yaowarat Road && 5.29 km ; Wat Saket && 5.8 km ; Khao San Road && 6.86 km ; Wat Pho Temple && 7.15 km ; Asiatique - The Riverfront && 7.23 km ; Wat Phra Kaew && 7.28 km ; Grand Palace && 7.33 km,8.4,Excellent,Gold Double Room,Free breakfast for 2 ;Free Wi-Fi ;Extra low price! (non-refundable) ;,"{'Features': '2 single beds&&Room size: 34 m²/366 ft²&&City view&&Shower&&Free Wi-Fi&&', 'Bed types': '2 single beds&&', 'Bathroom and toiletries': 'Bathrobes&&Cleaning products&&Hair dryer&&Mirror&&Scale&&Toiletries&&Towels&&', 'Entertainment ': 'DVD/CD player&&Free Wi-Fi in all rooms!&&Satellite/cable channels&&Telephone&&', 'Comforts': 'Air conditioning&&Blackout curtains&&Linens&&Slippers&&Wake-up service&&', 'Dining, drinking, and snacking': 'Coffee/tea maker&&Free bottled water&&Mini bar&&Refrigerator&&', 'Layout and furnishings': 'Carpeting&&Desk&&Interconnecting room(s) available&&Laptop workspace&&Seating area&&', 'Clothing and laundry': 'Closet&&Ironing facilities&&', 'Safety and security features': 'In-room safe box&&Laptop safe box&&Smoke detector&&', 'Guest ratings': '&&&&'}",2 single beds&&Room size: 34 m²/366 ft²&&City view&&Shower&&Free Wi-Fi&&,2.0,2.0,34.0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,3002,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
